18442,18515,1691,248,8445609,318790,4675,55413,251444,17571,15451,12827,13368,860691,19505,12440,393,1668,3989,8744,9638523,5160257,1970,2982,54960,224465,15101,3339406,43319,2479797,37613,220442,160891,9306,72516,236102,54983,569496,2364,27457,17106,589060,104881,151692,141482,3539272,3259,2394861,34701,10330321,7679995,5044904,2900862,340983,3466440,19314,14172,255177,358257,2176301,1568245,682671,3635101,1723922,1942549,3357112,3861125,590386,2256365,43111,1517705,18258,10101990,1643436,18840,255517,2382126,3896372,4186787,61402,9802966,14312369,13934583,22861448,22196958,8336833,14375360,24085204,7279609,7689331,15105322,15794620,6873774,8079139,8100749,9197946,16817071,19053195,19104700,7774571
3348,1107,754,603,3466,1185,895,853,1005,909,745,671,683,1239,936,765,583,571,585,556,3322,2566,887,810,824,1216,898,1813,2379,2310,989,1363,1187,990,1100,1244,894,12760,953,948,878,1025,1036,972,1130,2481,851,1494,1246,4240,3390,2603,2665,1797,2727,1145,917,1379,1226,1475,2442,1408,3063,1740,2019,3261,2578,1839,3051,1268,1352,1115,5746,2822,1106,1704,14212,6455,3311,1382,3685,3515,4128,4909,5717,6577,6608,7186,4437,3740,3987,4391,3503,4078,3938,3651,3729,6257,4581,3643
20388,20190,1851,269,8948160,342791,5131,57766,266655,18737,16219,13627,14127,908988,21233,13447,426,1803,4371,9452,10402144,5423105,2377,3236,58491,242005,15949,3646297,43066,2616874,40285,261737,264535,16708,124449,462026,115535,986647,2905,29940,20597,726828,128058,233111,193927,3894578,3885,2673870,39181,11290171,8342248,5389032,3067673,358311,3652762,20051,14989,284893,347566,2302445,1614335,705259,3660305,1720287,1903473,3448883,4043659,627887,2342387,45216,1586344,32423,10956085,1722979,19653,270701,4310565,7100310,7024720,92250,15195075,20128832,22657456,30315463,25263758,8568244,14668761,24068186,7186416,7269701,15573830,16023004,7138502,8270535,8228065,9246928,16801021,17940899,17675143,7784831
3507,1086,927,643,6366,1696,952,872,1238,944,864,754,700,1223,1016,841,620,616,679,614,4142,2857,899,708,844,1272,926,2526,1017,2405,1083,3378,2247,2029,2259,15499,1997,16774,1321,1009,1026,2394,2145,2220,2410,5543,1193,2630,1440,6023,3634,2713,3221,1827,3661,1201,979,1508,1452,1511,2496,1543,2877,2141,9197,4164,2597,1802,1894,1223,1666,1214,5777,2607,1200,2725,24370,8377,8729,2509,8095,10086,13873,7237,7889,4342,16812,4343,15856,6912,14072,5785,4514,4419,4034,4165,4675,6626,6765,6111
23450,25300,3049,408,8703388,350851,4837,56954,264024,18329,15900,12511,13409,935974,20381,13085,429,1737,4180,9166,9655636,5177263,2152,2992,55071,225285,15114,3383103,40882,2483807,36946,204466,145749,9034,70485,228025,53982,614194,2415,27196,17358,557666,104553,150755,126396,3497799,3035,2282980,33661,10124751,7454031,4922213,2852488,358472,3504853,18291,14161,248338,323459,2468574,1981273,862694,4420920,1714903,1889986,3467556,3839300,596131,2224180,42465,1505311,18467,10939836,1778354,20449,278115,2298452,3735770,4087544,61035,10076729,14747452,14409841,23323739,22252112,7889328,13530833,23364369,7284899,7205114,14733702,15816029,6830432,8039142,7916301,9065348,16601311,17282842,17074805,7206218
4065,2048,1382,1115,7322,1903,934,835,1150,915,758,734,684,1410,1036,830,690,793,573,591,2248,2874,962,717,828,1028,936,1679,987,2261,985,1181,1193,965,1004,9140,1006,13102,1180,874,918,3336,1071,1023,1136,4308,925,1819,1340,3308,7528,2647,2782,5849,5900,1165,913,1404,1189,3729,3444,2262,2848,2140,8725,4483,2621,1548,1936,1270,1576,1138,6917,3333,7840,1768,14572,4760,3233,1316,5509,10016,9033,5677,6389,6402,4956,6220,3681,3504,4157,4352,3260,4733,3750,3996,10771,3887,4807,4421
18233,18261,1752,257,8862964,317731,4934,55035,251361,17852,15492,12267,13096,857510,19963,12703,423,1669,4066,9104,9634480,5196308,1832,3205,71948,225489,15466,3392973,41139,2480857,37763,205155,145641,9086,70446,239602,53661,534774,2329,27637,17071,548267,103638,188135,126009,3483638,3141,2310210,33934,10334135,7635442,5050886,2951639,341946,3469463,19725,14125,254841,362892,2168119,1528099,704214,3599631,1731220,1916448,3332867,4271274,626800,2346256,45802,1598585,19076,10813882,2032747,20598,295256,2801531,3848172,4143139,61078,10092239,14556440,14436564,22926384,22320145,8301676,14234291,24105652,7392464,7572744,15371585,15807213,6945873,8450950,8179328,9081685,16990711,17492505,17133570,7075342
3015,1073,799,574,5513,1519,994,833,1134,16672,729,723,659,1252,954,713,584,628,552,642,3312,3162,940,672,793,1076,892,2047,991,2015,1057,1174,1188,1012,1014,1166,929,12141,931,874,897,1078,1503,1370,1191,2156,908,1726,1218,5660,2824,2693,3061,1861,2614,1183,877,1519,1380,1513,2414,1843,2562,2438,1561,3916,6310,1784,2313,1249,1788,1174,7762,4547,1338,3232,19853,4267,2800,1412,4449,3625,5735,5184,7946,7601,6338,7586,3841,3117,3792,4502,3623,4745,3421,4042,4699,4478,4592,3315
24828,18333,1737,240,8452610,310323,5023,53520,245319,17308,14936,11834,13140,848678,18844,12098,377,1598,3856,8814,9386949,5207597,1927,3075,55618,225497,15982,3394639,39578,2540602,38033,222306,151926,9392,72113,236380,54953,561774,2364,27167,17063,590485,102367,146822,122831,3432612,2969,2393562,35589,10354918,7629156,5061347,2955492,368058,3438919,19034,13852,247651,323468,2192844,1528657,667043,3603789,1735218,1871205,3352185,3838814,577693,2172424,41914,1467590,18418,10034051,2762494,27871,387981,4189753,3927754,4012034,60040,9802402,14199624,14175445,22979628,22278054,7852166,13651491,23180907,7302105,7081282,14604104,15542725,6700170,7778219,7919919,8774773,16702088,17897352,17444707,7239189
6567,1177,800,1376,6339,1420,4115,926,1054,896,750,747,1038,1104,886,686,575,567,1403,613,3898,2753,897,786,842,1069,971,2011,1101,2868,1084,1234,1154,993,1023,1042,975,12774,964,896,891,1047,1074,1011,1075,2550,763,1567,1343,4484,2751,2331,3472,1810,2806,1107,902,1455,1237,2048,1900,1517,4071,1912,1477,4547,2453,1557,2035,1145,1278,1134,7511,6224,2111,3422,18896,6799,3825,1370,5842,5225,4782,5627,8326,6670,4722,6012,5077,3718,4076,4147,2970,3452,4510,4471,6200,4585,4819,3150
